2015-06-11 10:47:25,763 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:47:25,763 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:47:25,763 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:47:25,763 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:49:29,180 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:49:29,180 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:49:29,180 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:49:29,180 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:49:54,183 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:49:54,183 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:49:54,183 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:49:54,183 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\test\resources
2015-06-11 10:50:37,376 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-11 10:50:37,376 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dell7447\workspacetest\BubbleBee\src\main\resources
2015-06-11 10:50:37,376 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS874 actually) to copy filtered resources, i.e. build is platform dependent!
